丁,る,郡カ,跋,放(),程放(),癸访(%),硉(m/s),秖(mm),跋絏
2019/1/1,1,裹て郡,匪打马,18,15.5,81,2.6,0,514
2019/2/1,2,裹て郡,匪打马,16.1,14.4,71,3.2,0,514
2019/3/1,3,裹て郡,匪打马,20.6,17.8,82,2.8,0,514
2019/4/1,4,裹て郡,匪打马,17.5,16,88,2.1,5,514
2019/5/1,5,裹て郡,匪打马,23.2,20.9,90,2.5,57.5,514
2019/6/1,6,裹て郡,匪打马,28.1,25,89,1.7,5.5,514
2019/7/1,7,裹て郡,匪打马,30.2,26,78,2,0,514
2019/8/1,8,裹て郡,匪打马,28.7,24.7,83,1.6,5.5,514
2019/9/1,9,裹て郡,匪打马,28,24.6,88,1.3,6,514
2019/10/1,10,裹て郡,匪打马,26.8,23.8,80,1.8,2.5,514
2019/11/1,11,裹て郡,匪打马,25.5,22.1,77,2.1,0,514
2019/12/1,12,裹て郡,匪打马,21.7,16.8,77,2.1,0,514
